Project_name,File,github_path,label
cassandra,/home/gzhao/performance_bug_prediction/github_data_collection/projects/stratio-cassandra/src/java/org/apache/cassandra/db/marshal/AsciiType.java,src/java/org/apache/cassandra/db/marshal/AsciiType.java,0
Gradle,/home/gzhao/performance_bug_prediction/github_data_collection/projects/gradle/subprojects/base-services/src/main/java/org/gradle/internal/IoActions.java,subprojects/base-services/src/main/java/org/gradle/internal/IoActions.java,0
Ihmc-open-robotics-software,/home/gzhao/performance_bug_prediction/github_data_collection/projects/ihmc-open-robotics-software/ihmc-sensor-processing/src/main/java/us/ihmc/sensorProcessing/diagnostic/YoFrameQuaternionValidityChecker.java,ihmc-sensor-processing/src/main/java/us/ihmc/sensorProcessing/diagnostic/YoFrameQuaternionValidityChecker.java,0
Openl-tablets,/home/gzhao/performance_bug_prediction/github_data_collection/projects/openl-tablets/STUDIO/org.openl.rules.webstudio/src/org/openl/rules/webstudio/web/util/WebStudioUtils.java,STUDIO/org.openl.rules.webstudio/src/org/openl/rules/webstudio/web/util/WebStudioUtils.java,0
Spring-framework,/home/gzhao/performance_bug_prediction/github_data_collection/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/AopContext.java,spring-aop/src/main/java/org/springframework/aop/framework/AopContext.java,0
Matsim-libs,/home/gzhao/performance_bug_prediction/github_data_collection/projects/matsim-libs/contribs/parking/src/main/java/org/matsim/contrib/parking/parkingchoice/PC2/simulation/ParkingArrivalEventHandler.java,contribs/parking/src/main/java/org/matsim/contrib/parking/parkingchoice/PC2/simulation/ParkingArrivalEventHandler.java,0
Grpc-java,/home/gzhao/performance_bug_prediction/github_data_collection/projects/grpc-java/okhttp/src/main/java/io/grpc/okhttp/OkHttpChannelProvider.java,okhttp/src/main/java/io/grpc/okhttp/OkHttpChannelProvider.java,0
Hapi-fhir,/home/gzhao/performance_bug_prediction/github_data_collection/projects/hapi-fhir/hapi-fhir-jpaserver-base/src/main/java/ca/uhn/fhir/jpa/dao/expunge/IResourceExpungeService.java,hapi-fhir-jpaserver-base/src/main/java/ca/uhn/fhir/jpa/dao/expunge/IResourceExpungeService.java,0
Spring-boot,/home/gzhao/performance_bug_prediction/github_data_collection/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/DefaultPropertyMapper.java,spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/DefaultPropertyMapper.java,0
Miso-lims,/home/gzhao/performance_bug_prediction/github_data_collection/projects/miso-lims/core/src/main/java/uk/ac/bbsrc/tgac/miso/core/data/impl/view/transfer/ListTransferViewSample.java,core/src/main/java/uk/ac/bbsrc/tgac/miso/core/data/impl/view/transfer/ListTransferViewSample.java,0
Alluxio,/home/gzhao/performance_bug_prediction/github_data_collection/projects/alluxio/core/server/worker/src/main/java/alluxio/worker/block/annotator/EmulatingBlockIterator.java,core/server/worker/src/main/java/alluxio/worker/block/annotator/EmulatingBlockIterator.java,0
Spring-framework,/home/gzhao/performance_bug_prediction/github_data_collection/projects/spring-framework/spring-context/src/main/java/org/springframework/cache/interceptor/CacheOperationSourcePointcut.java,spring-context/src/main/java/org/springframework/cache/interceptor/CacheOperationSourcePointcut.java,0
Elasticsearch,/home/gzhao/performance_bug_prediction/github_data_collection/projects/elasticsearch/x-pack/plugin/watcher/src/main/java/org/elasticsearch/xpack/watcher/actions/index/IndexAction.java,x-pack/plugin/watcher/src/main/java/org/elasticsearch/xpack/watcher/actions/index/IndexAction.java,0
Autopsy,/home/gzhao/performance_bug_prediction/github_data_collection/projects/autopsy/ImageGallery/src/org/sleuthkit/autopsy/imagegallery/gui/drawableviews/SlideShowView.java,ImageGallery/src/org/sleuthkit/autopsy/imagegallery/gui/drawableviews/SlideShowView.java,0
Bisq,/home/gzhao/performance_bug_prediction/github_data_collection/projects/bisq/core/src/main/java/bisq/core/payment/PaymentAccountList.java,core/src/main/java/bisq/core/payment/PaymentAccountList.java,0
Hazelcast,/home/gzhao/performance_bug_prediction/github_data_collection/projects/hazelcast/hazelcast/src/main/java/com/hazelcast/aggregation/Aggregator.java,hazelcast/src/main/java/com/hazelcast/aggregation/Aggregator.java,0
Hazelcast,/home/gzhao/performance_bug_prediction/github_data_collection/projects/hazelcast/hazelcast/src/main/java/com/hazelcast/cp/internal/datastructures/spi/RaftManagedService.java,hazelcast/src/main/java/com/hazelcast/cp/internal/datastructures/spi/RaftManagedService.java,0
