Project_name,File,github_path,label,api_prediction,api_error_message
CodenameOne,/home/gzhao/performance_bug_prediction/github_data_collection/projects/CodenameOne/CodenameOne/src/com/codename1/properties/MapAdapter.java,CodenameOne/src/com/codename1/properties/MapAdapter.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Miso-lims,/home/gzhao/performance_bug_prediction/github_data_collection/projects/miso-lims/core/src/main/java/uk/ac/bbsrc/tgac/miso/core/data/spreadsheet/LibrarySpreadSheets.java,core/src/main/java/uk/ac/bbsrc/tgac/miso/core/data/spreadsheet/LibrarySpreadSheets.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Snow-owl,/home/gzhao/performance_bug_prediction/github_data_collection/projects/snow-owl/snomed/com.b2international.snowowl.snomed.datastore/src/com/b2international/snowowl/snomed/datastore/request/rf2/importer/Rf2EffectiveTimeSlices.java,snomed/com.b2international.snowowl.snomed.datastore/src/com/b2international/snowowl/snomed/datastore/request/rf2/importer/Rf2EffectiveTimeSlices.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Dbeaver,/home/gzhao/performance_bug_prediction/github_data_collection/projects/dbeaver/plugins/org.jkiss.dbeaver.ext.db2.ui/src/org/jkiss/dbeaver/ext/db2/ui/tools/maintenance/DB2TruncateTool.java,plugins/org.jkiss.dbeaver.ext.db2.ui/src/org/jkiss/dbeaver/ext/db2/ui/tools/maintenance/DB2TruncateTool.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Exoplayer,/home/gzhao/performance_bug_prediction/github_data_collection/projects/ExoPlayer/library/ui/src/main/java/com/google/android/exoplayer2/ui/CanvasSubtitleOutput.java,library/ui/src/main/java/com/google/android/exoplayer2/ui/CanvasSubtitleOutput.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
XChange,/home/gzhao/performance_bug_prediction/github_data_collection/projects/XChange/xchange-lakebtc/src/main/java/org/knowm/xchange/lakebtc/dto/LakeBTCBaseResponse.java,xchange-lakebtc/src/main/java/org/knowm/xchange/lakebtc/dto/LakeBTCBaseResponse.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
nextprot-api,/home/gzhao/performance_bug_prediction/github_data_collection/projects/nextprot-api/core/src/main/java/org/nextprot/api/core/domain/exon/ExonCategory.java,core/src/main/java/org/nextprot/api/core/domain/exon/ExonCategory.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Elasticsearch,/home/gzhao/performance_bug_prediction/github_data_collection/projects/elasticsearch/x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ml/action/GetDatafeedsAction.java,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ml/action/GetDatafeedsAction.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Spring-boot,/home/gzhao/performance_bug_prediction/github_data_collection/projects/spring-boot/spring-boot-project/spring-boot-tools/spring-boot-loader/src/main/java/org/springframework/boot/loader/WarLauncher.java,spring-boot-project/spring-boot-tools/spring-boot-loader/src/main/java/org/springframework/boot/loader/WarLauncher.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Mica2,/home/gzhao/performance_bug_prediction/github_data_collection/projects/mica2/mica-core/src/main/java/org/obiba/mica/network/domain/Network.java,mica-core/src/main/java/org/obiba/mica/network/domain/Network.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
